0,1,2,3,4,5,6,7,8,9
0.604,0.873,0.173,0.62,0.632,0.517,0.419,0.526,0.594,0.42
0.499,0.925,0.201,0.599,0.612,0.46,0.302,0.479,0.514,0.0
0.508,0.335,0.455,0.034,0.013,0.432,0.679,0.439,0.78,0.0
0.563,0.8,0.148,0.335,0.368,0.307,0.601,0.671,0.329,0.001
0.507,0.599,0.445,0.515,0.396,0.305,0.534,0.254,0.769,0.001
0.643,0.766,0.358,0.273,0.464,0.501,0.609,0.592,0.511,0.0
0.515,0.748,0.395,0.444,0.389,0.378,0.62,0.539,0.737,0.0
0.611,0.733,0.39,0.384,0.394,0.481,0.617,0.555,0.642,0.0
0.543,0.727,0.393,0.449,0.4,0.427,0.603,0.563,0.718,0.0
0.609,0.724,0.387,0.402,0.394,0.488,0.629,0.56,0.672,0.0
0.565,0.725,0.392,0.417,0.412,0.469,0.64,0.559,0.706,0.0
0.602,0.73,0.388,0.421,0.402,0.477,0.64,0.567,0.684,0.0
0.582,0.732,0.393,0.426,0.391,0.496,0.628,0.575,0.7,0.0
0.598,0.731,0.396,0.426,0.38,0.484,0.641,0.57,0.693,0.0
0.594,0.735,0.396,0.425,0.386,0.49,0.627,0.575,0.699,0.0
0.604,0.737,0.394,0.426,0.379,0.479,0.642,0.589,0.692,0.0
0.606,0.737,0.398,0.424,0.387,0.489,0.635,0.584,0.702,0.0
0.613,0.737,0.395,0.422,0.381,0.478,0.647,0.585,0.701,0.0
0.61,0.738,0.388,0.419,0.397,0.492,0.636,0.583,0.708,0.0
0.615,0.737,0.387,0.421,0.386,0.476,0.652,0.586,0.699,0.0
0.616,0.741,0.384,0.419,0.393,0.492,0.641,0.583,0.708,0.0
0.619,0.734,0.384,0.422,0.386,0.481,0.651,0.589,0.704,0.0
0.619,0.734,0.384,0.422,0.386,0.481,0.651,0.589,0.704,0.0
0.619,0.734,0.384,0.422,0.386,0.481,0.651,0.589,0.704,0.0
